1.000E-02,820.0
2.000E-02,820.0
3.000E-02,819.9
5.000E-02,819.8
9.000E-02,819.3
0.170,817.9
0.330,814.5
0.650,807.2
1.29,794.4
2.29,778.5
3.29,765.2
4.29,753.6
5.29,743.2
6.29,733.7
7.29,724.7
8.29,716.3
9.29,708.2
10.3,701.7
11.3,700.2
12.3,703.3
13.3,709.0
14.3,713.2
15.3,716.1
16.3,718.0
17.3,719.4
18.3,720.3
19.3,720.9
20.3,721.3
21.3,721.6
22.3,721.8
23.3,722.0
24.3,722.0
25.3,720.5
26.3,713.9
27.3,702.8
28.3,689.7
29.3,678.3
30.3,668.4
31.3,659.7
32.3,651.7
33.3,644.2
34.3,637.2
35.3,630.4
36.3,623.9
37.3,617.6
38.3,611.4
39.3,605.4
40.3,599.6
41.3,593.8
42.3,588.2
43.3,582.7
44.3,577.3
45.3,572.0
46.3,566.8
47.3,561.7
48.3,556.6
49.3,551.7
50.3,546.9
51.3,542.1
52.3,537.4
53.3,532.8
54.3,528.2
55.3,523.8
56.3,519.4
57.3,515.1
58.3,510.8
59.3,506.6
60.3,502.5
61.3,498.4
62.3,494.4
63.3,490.5
64.3,486.6
65.3,482.8
66.3,479.0
67.3,475.3
68.3,471.6
69.3,468.0
70.3,464.4
71.3,460.9
72.3,457.4
73.3,454.0
74.3,450.6
75.3,447.3
76.3,443.9
77.3,440.7
78.3,437.5
79.3,434.3
80.3,431.1
81.3,428.0
82.3,425.0
83.3,421.9
84.3,418.9
85.3,416.0
86.3,413.0
87.3,410.1
88.3,407.3
89.3,404.5
90.3,401.7
91.3,398.9
92.3,396.2
93.3,393.4
94.3,390.8
95.3,388.1
96.3,385.5
97.3,382.9
98.3,380.3
99.3,377.8
100.,375.3
101.,372.8
102.,370.3
103.,367.9
104.,365.5
105.,363.1
106.,360.7
107.,358.4
108.,356.1
109.,353.8
110.,351.5
111.,349.3
112.,347.0
113.,344.8
114.,342.6
115.,340.5
116.,338.3
117.,336.2
118.,334.1
119.,332.0
120.,330.0
121.,327.9
122.,325.9
123.,323.9
124.,321.9
125.,319.9
126.,318.0
127.,316.1
128.,314.1
129.,312.2
130.,310.4
131.,308.5
132.,306.7
133.,304.8
134.,303.0
135.,301.2
136.,299.4
137.,297.7
138.,295.9
139.,294.2
140.,292.5
141.,290.8
142.,289.1
143.,287.4
144.,285.7
145.,284.1
146.,282.5
147.,280.8
148.,279.2
149.,277.6
150.,276.1
151.,274.5
152.,273.0
153.,271.4
154.,269.9
155.,268.4
156.,266.9
157.,265.4
158.,263.9
159.,262.5
160.,261.0
161.,259.6
162.,258.2
163.,256.7
164.,255.3
165.,254.0
166.,252.6
167.,251.2
168.,249.9
169.,248.5
170.,247.2
171.,245.9
172.,244.5
173.,243.2
174.,242.0
175.,240.7
176.,239.4
177.,238.1
178.,236.9
179.,235.6
180.,234.4
181.,233.2
182.,232.0
183.,230.8
184.,229.6
185.,228.4
186.,227.2
187.,226.1
188.,224.9
189.,223.8
190.,222.6
191.,221.5
192.,220.4
193.,219.3
194.,218.2
195.,217.1
196.,216.0
197.,214.9
198.,213.9
199.,212.8
200.,211.7
201.,210.7
202.,209.7
203.,208.6
204.,207.6
205.,206.6
206.,205.6
207.,204.6
208.,203.6
209.,202.6
210.,201.7
211.,200.7
212.,199.7
213.,198.8
214.,197.8
215.,196.9
216.,196.0
217.,195.0
218.,194.1
219.,193.2
220.,192.3
221.,191.4
222.,190.5
223.,189.6
224.,188.8
225.,187.9
226.,187.0
227.,186.2
228.,185.6
229.,186.3
230.,188.0
231.,190.4
232.,192.4
233.,194.1
234.,195.5
235.,196.7
236.,197.8
237.,198.9
238.,199.8
239.,200.8
240.,201.7
241.,202.5
242.,203.4
243.,204.2
244.,205.0
245.,205.8
246.,206.5
247.,207.3
248.,208.0
249.,208.7
250.,209.4
251.,210.1
252.,210.8
253.,211.5
254.,212.1
255.,212.8
256.,213.4
257.,214.0
258.,214.6
259.,215.2
260.,215.4
261.,214.1
262.,211.5
263.,208.3
264.,205.6
265.,203.3
266.,201.7
267.,201.5
268.,202.7
269.,204.6
270.,206.2
271.,207.5
272.,208.5
273.,209.3
274.,210.1
275.,210.8
276.,211.4
277.,212.0
278.,212.5
279.,213.1
280.,213.6
281.,214.1
282.,214.6
283.,215.1
284.,215.6
285.,216.0
286.,216.5
287.,217.0
288.,217.4
289.,217.9
290.,218.3
291.,218.7
292.,219.2
293.,219.6
294.,220.0
295.,220.4
296.,220.8
297.,221.2
298.,221.6
299.,222.0
300.,222.4
301.,222.7
302.,223.1
303.,223.5
304.,223.8
305.,224.2
306.,224.5
307.,224.9
308.,225.2
309.,225.6
310.,225.9
311.,226.2
312.,226.5
313.,226.9
314.,227.2
315.,227.5
316.,227.8
317.,228.1
318.,228.4
319.,228.7
320.,229.0
321.,229.3
322.,229.6
323.,229.8
324.,230.1
325.,230.4
326.,230.7
327.,231.0
328.,231.2
329.,231.5
330.,231.7
331.,232.0
332.,232.3
333.,232.5
334.,232.8
335.,233.0
336.,233.3
337.,233.5
338.,233.8
339.,234.0
340.,234.2
341.,234.5
342.,234.7
343.,234.9
344.,235.2
345.,235.4
346.,235.6
347.,235.8
348.,236.1
349.,236.3
350.,236.5
351.,236.7
352.,236.9
353.,237.1
354.,237.3
355.,237.6
356.,237.8
357.,238.0
358.,238.2
359.,238.4
360.,238.6
361.,238.8
362.,239.0
363.,239.2
364.,239.3
365.,239.5
366.,239.7
367.,239.9
368.,240.1
369.,240.3
370.,240.5
371.,240.7
372.,240.8
373.,241.0
374.,241.2
