 step   time temperat  ferrite pearlite  bainite martensite xferrite xpearlite  xbainite  xmartensite  type
 new interval:  cooling rate  27.00  time      11.00
 3000     1.111  790.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3050     1.130  789.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3100     1.148  789.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3150     1.167  788.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3200     1.185  788.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3250     1.204  787.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3300     1.222  787.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3350     1.241  786.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3400     1.259  786.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3450     1.278  785.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3500     1.296  785.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3550     1.315  784.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3600     1.333  784.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3650     1.352  783.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3700     1.370  783.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3750     1.389  782.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3800     1.407  782.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3850     1.426  781.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3900     1.444  781.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 3950     1.463  780.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4000     1.481  780.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4050     1.500  779.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4100     1.519  779.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4150     1.537  778.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4200     1.556  778.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4250     1.574  777.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4300     1.593  777.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4350     1.611  776.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4400     1.630  776.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4450     1.648  775.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4500     1.667  775.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4550     1.685  774.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4600     1.704  774.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4650     1.722  773.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4700     1.741  773.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4750     1.759  772.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4800     1.778  772.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4850     1.796  771.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4900     1.815  771.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 4950     1.833  770.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5000     1.852  770.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5050     1.870  769.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5100     1.889  769.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5150     1.907  768.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5200     1.926  768.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5250     1.944  767.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5300     1.963  767.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5350     1.981  766.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5400     2.000  766.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5450     2.019  765.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5500     2.037  765.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5550     2.056  764.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5600     2.074  764.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5650     2.093  763.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5700     2.111  763.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5750     2.130  762.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5800     2.148  762.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5850     2.167  761.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5900     2.185  761.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 5950     2.204  760.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6000     2.222  760.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6050     2.241  759.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6100     2.259  759.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6150     2.278  758.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6200     2.296  758.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6250     2.315  757.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6300     2.333  757.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6350     2.352  756.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6400     2.370  756.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6450     2.389  755.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6500     2.407  755.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6550     2.426  754.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6600     2.444  754.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6650     2.463  753.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6700     2.481  753.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6750     2.500  752.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6800     2.519  752.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6850     2.537  751.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6900     2.556  751.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 6950     2.574  750.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7000     2.593  750.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7050     2.611  749.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7100     2.630  749.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7150     2.648  748.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7200     2.667  748.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7250     2.685  747.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7300     2.704  747.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7350     2.722  746.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7400     2.741  746.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7450     2.759  745.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7500     2.778  745.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7550     2.796  744.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
 7600     2.815  744.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 C
