      0.0000,    851.0638,      0.0145,    600.0000,
      0.8000,    693.4594,      0.6389,    800.0000,
,,,,      0.0000,    753.6870,
,,,,      0.6389,    753.6870,
,,,,,,      0.2300,    805.7500,      0.5278,      0.2300
,,,,,,      0.2300,    805.7000,      0.5296,      0.2303
,,,,,,      0.2300,    805.6500,      0.5315,      0.2305
,,,,,,      0.2300,    805.6000,      0.5333,      0.2308
,,,,,,      0.2300,    805.5500,      0.5352,      0.2310
,,,,,,      0.2300,    805.5000,      0.5370,      0.2313
,,,,,,      0.2300,    805.4500,      0.5389,      0.2315
,,,,,,      0.2300,    805.4000,      0.5407,      0.2318
,,,,,,      0.2300,    805.3500,      0.5426,      0.2320
,,,,,,      0.2300,    805.3000,      0.5444,      0.2323
,,,,,,      0.2300,    805.2500,      0.5463,      0.2326
,,,,,,      0.2300,    805.2000,      0.5481,      0.2328
,,,,,,      0.2300,    805.1500,      0.5500,      0.2331
,,,,,,      0.2300,    805.1000,      0.5519,      0.2333
,,,,,,      0.2300,    805.0500,      0.5537,      0.2336
,,,,,,      0.2300,    805.0000,      0.5556,      0.2338
,,,,,,      0.2300,    804.9500,      0.5574,      0.2341
,,,,,,      0.2300,    804.9000,      0.5593,      0.2343
,,,,,,      0.2300,    804.8500,      0.5611,      0.2346
,,,,,,      0.2300,    804.8000,      0.5630,      0.2348
,,,,,,      0.2300,    804.7500,      0.5648,      0.2351
,,,,,,      0.2300,    804.7000,      0.5667,      0.2353
,,,,,,      0.2300,    804.6500,      0.5685,      0.2356
,,,,,,      0.2300,    804.6000,      0.5704,      0.2359
,,,,,,      0.2300,    804.5500,      0.5722,      0.2361
,,,,,,      0.2300,    804.5000,      0.5741,      0.2364
,,,,,,      0.2300,    804.4500,      0.5759,      0.2366
,,,,,,      0.2300,    804.4000,      0.5778,      0.2369
,,,,,,      0.2300,    804.3500,      0.5796,      0.2371
,,,,,,      0.2300,    804.3000,      0.5815,      0.2374
,,,,,,      0.2300,    804.2500,      0.5833,      0.2376
,,,,,,      0.2300,    804.2000,      0.5852,      0.2379
,,,,,,      0.2300,    804.1500,      0.5870,      0.2381
,,,,,,      0.2300,    804.1000,      0.5889,      0.2384
,,,,,,      0.2300,    804.0500,      0.5907,      0.2386
,,,,,,      0.2300,    804.0000,      0.5926,      0.2389
,,,,,,      0.2300,    803.9500,      0.5944,      0.2391
,,,,,,      0.2300,    803.9000,      0.5963,      0.2394
,,,,,,      0.2300,    803.8500,      0.5981,      0.2397
,,,,,,      0.2300,    803.8000,      0.6000,      0.2399
,,,,,,      0.2300,    803.7500,      0.6019,      0.2402
,,,,,,      0.2300,    803.7000,      0.6037,      0.2404
,,,,,,      0.2300,    803.6500,      0.6056,      0.2407
,,,,,,      0.2300,    803.6000,      0.6074,      0.2409
,,,,,,      0.2300,    803.5500,      0.6093,      0.2412
,,,,,,      0.2300,    803.5000,      0.6111,      0.2414
,,,,,,      0.2300,    803.4500,      0.6130,      0.2417
,,,,,,      0.2300,    803.4000,      0.6148,      0.2419
,,,,,,      0.2300,    803.3500,      0.6167,      0.2422
,,,,,,      0.2300,    803.3000,      0.6185,      0.2424
,,,,,,      0.2300,    803.2500,      0.6204,      0.2427
,,,,,,      0.2300,    803.2000,      0.6222,      0.2430
,,,,,,      0.2300,    803.1500,      0.6241,      0.2432
,,,,,,      0.2300,    803.1000,      0.6259,      0.2435
,,,,,,      0.2300,    803.0500,      0.6278,      0.2437
,,,,,,      0.2300,    803.0000,      0.6296,      0.2440
,,,,,,      0.2300,    802.9500,      0.6315,      0.2442
,,,,,,      0.2300,    802.9000,      0.6333,      0.2445
,,,,,,      0.2300,    802.8500,      0.6352,      0.2447
,,,,,,      0.2300,    802.8000,      0.6370,      0.2450
,,,,,,      0.2300,    802.7500,      0.6389,      0.2452
,,,,,,      0.2300,    802.7000,      0.6407,      0.2455
,,,,,,      0.2300,    802.6500,      0.6426,      0.2457
,,,,,,      0.2300,    802.6000,      0.6444,      0.2460
,,,,,,      0.2300,    802.5500,      0.6463,      0.2463
,,,,,,      0.2300,    802.5000,      0.6481,      0.2465
,,,,,,      0.2300,    802.4500,      0.6500,      0.2468
,,,,,,      0.2300,    802.4000,      0.6519,      0.2470
,,,,,,      0.2300,    802.3500,      0.6537,      0.2473
,,,,,,      0.2300,    802.3000,      0.6556,      0.2475
,,,,,,      0.2300,    802.2500,      0.6574,      0.2478
,,,,,,      0.2300,    802.2000,      0.6593,      0.2480
,,,,,,      0.2300,    802.1500,      0.6611,      0.2483
,,,,,,      0.2300,    802.1000,      0.6630,      0.2485
,,,,,,      0.2300,    802.0500,      0.6648,      0.2488
,,,,,,      0.2300,    802.0000,      0.6667,      0.2490
,,,,,,      0.2300,    801.9500,      0.6685,      0.2493
,,,,,,      0.2300,    801.9000,      0.6704,      0.2496
,,,,,,      0.2300,    801.8500,      0.6722,      0.2498
,,,,,,      0.2300,    801.8000,      0.6741,      0.2501
,,,,,,      0.2300,    801.7500,      0.6759,      0.2503
,,,,,,      0.2300,    801.7000,      0.6778,      0.2506
,,,,,,      0.2300,    801.6500,      0.6796,      0.2508
,,,,,,      0.2300,    801.6000,      0.6815,      0.2511
,,,,,,      0.2300,    801.5500,      0.6833,      0.2513
,,,,,,      0.2300,    801.5000,      0.6852,      0.2516
,,,,,,      0.2300,    801.4500,      0.6870,      0.2518
,,,,,,      0.2300,    801.4000,      0.6889,      0.2521
,,,,,,      0.2300,    801.3500,      0.6907,      0.2523
,,,,,,      0.2300,    801.3000,      0.6926,      0.2526
